id,question,answerText,top1
8a8d906b,"Which movie actor was born in Sydney, Australia and has played a role as a main character in the X-Men movies?",Hugh Jackman,Hugh Jackman
61264835,Which movie actor has played a main character in the Thor movies and has a brother that has dated Miley Cyrus?,Christopher Hemsworth,Chris Hemsworth
f754afd4,Which movie actor was awarded a star on the Hollywood Walk of Fame in 2017 and has played the title character in a Deadpool movie before?,Ryan Reynolds,Ryan Reynolds
1e579bd0,"Which actor played James Bond and was born in Chester, UK?",Daniel Craig,Daniel Craig
bad12250,Which actor played Spider-Man and was born in England?,Tom Holland,Tom Holland
31cfb5e6,Which actor featured in Fatherhood and is a stand-up comedian?,Kevin Hart,Kevin Hart
852e557f,Which actress starred in Maleficent and grew up in New York?,Angelina Jolie,Angelina Jolie
28d58da8,Which movie actor starred in Fast and Furious and was a wrestler?,Dwayne Johnson,Dwayne Johnson
b9fa47f6,Which actor featured in the movie Beloved and was a talk show host?,Oprah Winfrey,Oprah Winfrey
ea686027,Which movie starred Roger Moore and was set mostly in Louisiana?,Live and Let Die,Live and Let Die
70cc549b,Which actor was in The Call of the Wild and Star Wars movies?,Harrison Ford,Harrison Ford
eb521cb2,Which movie was directed by Darren Aronofsky and came out in 2017?,Mother!,Mother!
96a9bd38,Which actor was in Pirates of the Caribbean and was a pen salesman before his acting career?,Johnny Depp,Johnny Depp
483c2228,Which movie was directed by Taylor Hackford and starred Damian Chapa?,Blood In Blood Out,"Blood In, Blood Out"
a514e83a,Which movie was directed by Edward James Olmos and starred Edward James Olmos?,American Me,American Me
77b2aca4,Which movie was directed by Brian De Palma and starred Al Pacino?,Carlito's Way,Scarface
8e98844c,Which movie was directed by Sam Mendes and starred Kevin Spacey?,American Beauty,American Beauty
e74425b1,Which actress in Blue Lagoon graduated from Princeton University?,Brooke Shields,Brooke Shields
9aab4bd5,Which actor starred in Good Will Hunting and attended Harvard?,Matt Damon,Matt Damon
d4c282d0,"Which star in the Titanic was born on November 11, 1974?",Leonardo di Caprio,Leonardo DiCaprio
049fb505,"Which actress starred in Freaky Friday and the Parent Trap, and was born in the Bronx?",Lindsay Lohan,Lindsay Lohan
8e362b1c,Which movie directed by Cate Shortland stars Scarlett Johansson?,Black Widow,Black Widow
c0b1eecb,Which baseball movie about kids stars Thomas Ian Nicholas?,Rookie of the Year,Rookie of the Year
f3890512,Which 2021 Halloween movie was directed by David Gordon Green?,Halloween Kills,Halloween Kills
fed3e2aa,Which movie was directed by Martin Scorsese and starred Mark Ruffalo?,Shutter Island,Shutter Island
247f56fb,Which movie was directed by Martin Scorsese and starred Daniel Day-Lewis?,Gangs of New York,Gangs of New York
16ac18cb,Which actress starred in Harry Potter and went to Brown University?,Emma Waston,Emma Watson
c7bcb4dd,Which actress starred in Transformers and modeled for Victoria's Secret?,Rosie Huntington-Whiteley,Megan Fox
5929e0d7,Which actor has the stage name Marky Mark and also starred in Joe Bell?,Mark Wahlberg,Mark Wahlberg
cf61ada2,Who was the star of The Crazies and also went to University of Southern California?,Timothy Olyphant,Timothy Olyphant
44178fac,Which actress acted in Star Wars and was born in Israel?,Natalie Portman,Natalie Portman
3781077f,Which movie was directed by Martin Scorsese and featured Ray Liotta?,goodfellas,Goodfellas
67e43710,Which horror movie did Drew Barrymore act in in 1995?,cat's eye,Scream
07fb547a,Which movies directed by Martin Scorsese featured Leonardo DiCaprio?,"gangs of new york, the aviator, the departed, shutter island, wolf of wall street, audition, killers of the flower moon","The Departed, Shutter Island, The Wolf of Wall Street"
d0c5ccfa,Which movie took place at a hotel and starred Jack Nicholson?,the shining,The Shining
ea5f6eca,Who plays in the Fast & Furious movies and also is a former professional wrestler?,Dwayne Johnson,Dwayne Johnson
9f64e7ff,Which actress plays Black Widow and was born in 1984?,Scarlett Johansson,Scarlett Johansson
8b330274,Who was the star of Black Panther and passed away in August of 2020?,Chadwick Boseman,Chadwick Boseman
1bd7eea9,Which actor who starred in A Quiet Place also starred in the TV show The Office?,John Krasinski,John Krasinski
ed67ce8c,Which movie based on a Stephen King novel was directed by Rob Reiner and starred Kathy Bates?,Misery,Misery
494f8af7,Which movie based on a Stephen King novel starred Jack Nicholson and came out in 1980?,The Shining,The Shining
14b9bda0,Which movie based on a Stephen King novel starred Tim Robbins and came out in 1994?,The Shawshank Redemption,The Shawshank Redemption
a75583a2,Which movie based on a Stephen King novel starred Tim Curry and came out in 1990?,It,It.
7b9d62ee,Which movie was directed by Tim Burton and came out in 1990?,Edward Scissorhands,Edward Scissorhands
5577edca,Which actor starred in Cry Baby and was married to Amber Heard?,Johnny Depp,Johnny Depp
258813ce,Which movie starred Jim Sturgess and came out in 2007?,Across the Universe,Across the Universe
73137355,Which actress was born in Kentucky and played Katniss Everdeen?,Jennifer Lawrence,Jennifer Lawrence
9989cfca,"Which actress starred in ""The Island"" and has a twin in real life?",Scarlett Johansson,Scarlett Johansson
a241bab1,Which actor starred in Squid Game and was born in India?,Anupam Tripathi,Anupam Tripathi
d8aa0320,Which movie was directed by Christopher Nolan and starred John David Washington?,Tenet,Tenet
73b41610,Which movie was directed by Taika Waititi and starred Scarlett Johansson?,Jojo Rabbit,Jojo Rabbit
07a07d09,Who is the Drive star that started out in the Mickey Mouse club?,Ryan Gosling,Ryan Gosling
27b74b8b,Which movie starred Anthony Hopkins and was based on the life of CS Lewis?,Shadowlands,The World's Fastest Indian
fda69bf4,Which actor starred in Gran Torino and directed it?,Clint Eastwood,Clint Eastwood
7342866e,Which actor starred in a movie about his own life and is a world-famous rapper from Detroit?,Eminem,Eminem
4ce85859,Which actor narrated the March of the Penguins and is six feet and two inches tall?,Morgan Freeman,Morgan Freeman
992424f5,Which famous Hollywood actor had the middle name of Charles Durman and died in 1997?,Robert Mitchum,Marlon Brando
35575c6b,"Which actress played Burt Lancaster's daughter in ""Sweet Smell of Success"" and graduated at the High School of Performing Arts in New York City?",Susan Harrison,Susan Harrison
7bb95643,"Which actor played Terry Malloy in ""On the Waterfront"" and whose religion is Christian Scientist?",Marlon Brando,Marlon Brando
5a89694c,Where is the actor who played Seong Gi-hun in Squid Game from?,"Seoul, South Korea",South Korea
193c8093,What's the actor's name who played Spider-Man in 2002?,Tobey Maguire,Tobey Maguire
42874384,What is the hometown of the director of Parasite?,"Daegu, South Korea",Bong Joon-ho
3b4e7a21,Which university did the director of Parasite attend?,Yonsei University,Hongik University
4dd92765,Who is the sister to the actress who headlined Mona Lisa Smile?,Emma Roberts,Julia Roberts
7296af00,Where is the actress who played Padmé from?,Israel,Natalie Portman
f0944ac2,Where is the director of Malignant from?,Australia,James Wan
87901d43,Where is the actor that played the original Obi-Wan Kenobi from?,England,Alec Guinness
e8e2cffa,Where is the actor who played Jerry Maguire in Jerry Maguire from?,"Syracuse, NY",Tom Cruise
29f410e9,In which month was the actor who played Jerry Maguire in Jerry Maguire born?,July,Tom Cruise
ecb7180c,Where was the actor who played Achilles in Troy born?,"Shawnee, OK",Brad Pitt
6792df71,Which university did the actor that played Gandalf go to?,University of Cambridge,University of Cambridge
5301d03b,Which male director is related to the actor who played Randy in Valley Girl?,Francis Ford Coppola,Francis Ford Coppola
a0294615,Which famous actress did the lead actor of the 2003 movie Daredevil marry?,Jennifer Garner,Jennifer Garner
2c60be84,Where is the actor who played Black Widow from?,America,Scarlett Johansson
4b2fad7d,"Who is the son of the actor who starred in ""The Equalizer""?",John David Washington,Denzel Washington
b72abd96,Where is the actor who played the recent James Bond from?,"Chester, United Kingdom",Daniel Craig
4597be90,Where is the actor who played Agent Kay in Men in Black from?,"San Saba, Texas",Tommy Lee Jones
273dab8b,For acting in which movie was the actor who played Lord Voldemort in some of the Harry Potter movies nominated for an Oscar in 1997?,The English Patient,Ralph Fiennes
250c1d07,Who is the husband of the actress from Black Widow?,Colin Jost,Colin Jost
8b614fcc,Who is the wife of the main actor in The Mummy?,Afton Smith,Evelyn Carnahan
4f93a661,Which country is the director of Parasite from?,South Korea,South Korea
2d9fcf8e,Where is the actress who played Claire Dearing in Jurassic World from?,"Los Angeles, California",Bryce Dallas Howard
101ae0cf,Where was the actress who played Harley Quinn in Birds of Prey born?,Australia,Margot Robbie
62a6231f,Where is the birthplace of the actor who played Legolas?,United Kingdom,Orlando Bloom
14ea73a4,Where is the lead actress in Malignant from?,England,Annabelle Wallis
5bfb002f,"Where is the actor that played Benny the Jet Rodriguez in ""The Sandlot"" from?","Los Angeles, California",Mike Vitar
794e3f94,Where is the director of Avatar from?,Canada,James Cameron
c937b049,Where was the actress who played Hermione in the original Harry Potter movies born?,"Paris, France",Emma Watson
cb89fc4c,Where is the actor who played Captain Jack Sparrow from?,"Owensboro, KY",Johnny Depp
8cf6559e,Which movie school did the director of Star Wars: A New Hope attend?,University of Southern California Film School,University of Southern California
12478be2,Which city is the actor who played Batman in the movie Batman Begins from?,Haverfordwest,London
cbe8c975,Where is the actor who played Rocky Balboa from originally?,"Hell's Kitchen, New York, NY",Sylvester Stallone
1c56aa72,Where is the director of Rockstar from?,India,India
f9aa6540,What was the first Twilight movie chronologically?,Twilight,Twilight
bc601b46,What was the fourth Twilight movie chronologically?,The Twilight Saga: Breaking Dawn Part 1,Breaking Dawn
df3c48ba,What is the title of the third Matrix movie?,The Matrix Revolutions,The Matrix Revolutions
d9055918,What was the first movie directed by M. Night Shyamalan?,Praying with Anger,Praying with Anger
b8a6dba5,What was the third Harry Potter movie to be released?,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
059a6200,What was the third Pirates of the Caribbean movie to be released?,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End
a06f2902,What was the third Fast & Furious movie to be released?,The Fast and the Furious: Tokyo Drift,Tokyo Drift
97d03d01,What was the third Lord of the Rings movie to be released?,The Lord of the Rings: The Return of the King,The Return of the King
8fab578a,What was the third Thor movie to be released?,Thor: Ragnarok,Thor: Ragnarok
03f9b7f6,What was the last movie in the Dirty Harry franchise?,The Dead Pool,The Dead Pool
74dd4a17,What was the first movie directed by Isao Takahata?,Grave of the Fireflies,"The Great Adventure of Horus, Prince of the Sun"
b186bf32,Which movie did Ridley Scott win his first award for?,Thelma and Louise,Alien
11f2c248,What is the fourth installment to the Matrix series called?,The Matrix Resurrections,The Matrix Resurrections
30d81e82,What was Daniel Craig's first Bond movie?,Casino Royal,Casino Royale
c1dbaa01,Who directed Tom's Cruise's third Mission: Impossible?,J.J. Abrams,J.J. Abrams
ef16002c,Who directed the second Jurassic World movie?,J.A. Bayona,J.A. Bayona
13dc6d58,What was Tom Cruise's third movie?,The Outsiders,Risky Business
d2b33b6e,What was Tom Cruise's first movie in the 1990s?,Days of Thunder,Days of Thunder
2166b45f,What was Tom Cruise's last movie of the 80s?,Born on the Fourth of July,Born on the Fourth of July
b9deafb5,Which movie did Steven Spielberg direct first?,The Sugarland Express,Duel
155d3a58,What is the second 50 Shades of Grey movie?,Fifty Shades Darker,Fifty Shades Darker
c036a3a2,What was the third movie Johnny Depp appeared in?,Platoon,A Nightmare on Elm Street
c5ae3177,What is the third Lord of The Rings movie?,Lord Of The Rings: Return Of The King,The Return of the King
4c3550af,What is the first Star Trek movie to feature the Next Generation cast?,Star Trek: Generations,Star Trek: Generations
1eff289d,What was the last movie John Candy ever appeared in?,Canadian Bacon,Canadian Bacon
10ee40d5,What was the first movie Quentin Tarantino directed?,Reservoir Dogs,Reservoir Dogs
96a00de3,What was the first movie released featuring the character Jack Ryan?,The Hunt for Red October,The Hunt for Red October
473fc346,What was Kevin Smith's second movie?,Mallrats,Mallrats
b72a5b25,What was Kevin Smith's third movie?,Chasing Amy,Chasing Amy
0fb7c3ac,What was Kevin Smith's fourth movie?,Dogma,Clerks II
b5a7f3ef,What was Kevin Smith's fifth movie?,Jay and Silent Bob Strike Back,Clerks II
f03db13e,What was the first Harry Potter movie chronologically?,Harry Potter and the Sorcerer's Stone,Harry Potter and the Philosopher's Stone
84c9cff2,What was the first Indiana Jones movie chronologically?,Raiders of the Lost Ark,Indiana Jones and the Temple of Doom
7f0edb54,What was the first Pirates of the Caribbean movie?,Pirates of the Carribean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl
d82a35f3,What was the first James Bond movie?,Dr. No,Dr. No
a86c8026,What was the ninth Star Wars movie to be released in theaters?,Star Wars: Episode IX - The Rise of Skywalker,The Rise of Skywalker
fafc0acd,What is the second Avengers movie in the series?,Avengers: Age of Ultron,Avengers: Age of Ultron
259da5d5,What is the fourth installment in the Matrix movie series?,The Matrix Resurrections,Matrix Resurrections
671fa282,What is the name of the first Rambo movie?,First Blood,First Blood
6ebcd5cc,What was the second Harry Potter movie chronologically?,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets
c84b8a8e,What was the third Fast & Furious movie chronologically?,The Fast and the Furious: Tokyo Drift (2006),Tokyo Drift
81246ab6,What is the first Twilight movie?,Twilight,Twilight
22c51c40,What is the third Twilight movie?,The Twilight Saga: Eclipse,Eclipse
204812e6,What is the first movie in the Hunger Games series?,The Hunger Games,The Hunger Games
efaa8847,What is the second movie in the Hunger Games series?,The Hunger Games: Catching Fire,Catching Fire
de544943,"Which Disney movie was the first full-length, animated feature produced in the United States?",Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs
2904ad72,What is the name of the sixth movie in the Harry Potter franchise?,"""Harry Potter and the Half-Blood Prince"" Part I",Harry Potter and the Half-Blood Prince
02a27813,"What was Clint Eastwood's first movie appearance, in which he played the uncredited lab technician Jennings?",Revenge of the Creature,Revenge of the Creature
f1792405,What was Clint Eastwood's first credited movie?,Francis in the Navy,Revenge of the Creature
c1ae4b68,What was the last Marvel movie with Thanos in it?,Avengers: Endgame,Avengers: Endgame
1d4654ab,What was the second movie in the Peter Jackson Lord of the Rings trilogy?,The Two Towers,The Two Towers
ee6fecb6,What was the third movie in the Peter Jackson Lord of the Rings trilogy?,The Return of the King,The Return of the King
0ff147e0,What was the first Star Wars movie directed by Rian Johnson?,Star Wars: The Last Jedi,Star Wars: The Last Jedi
b0b16347,What was the fourth Star Wars movie chronologically?,Solo: A Star Wars Story,Star Wars: Episode I - The Phantom Menace
241197ce,What was the fifth Star Wars movie chronologically?,Rogue One: A Star Wars Story,The Empire Strikes Back
dd38c8ec,What was the sixth Star Wars movie chronologically?,Star Wars: Episode IV—A New Hope,Return of the Jedi
c99a8a99,What was the seventh Star Wars movie chronologically?,Star Wars: Episode V – The Empire Strikes Back,The Force Awakens
6f9f0452,Which movie was Chris Evans last in?,Avengers Endgame,Knives Out
25569cc4,What is the third part of the Fast & Furious?,The Fast and Furious Tokyo Drift,Tokyo Drift
e02c8c0c,What was the first cartoon movie?,A Fantasy,Snow White and the Seven Dwarfs
20c6ce3f,What was the first movie that featured 50 Cent?,Get rich or die tryin,Get Rich or Die Tryin'
e88b6de6,What was the first movie released in 2021?,Black Widow,The Dig
e44b59e0,What was Christopher Walken's first movie?,The Anderson Tapes,Me and My Brother
25052551,Which movie was Meryl Streep's first Oscar for?,The Deer Hunter,Kramer vs. Kramer
e813db2b,What was John Belushi's last movie?,Neighbors's,"""Neighbors"""
7356e1af,What was the first movie to win an Oscar for Best Picture?,Wings,Wings
3d7c49de,Who was the first actor to win an Oscar for Best Actor?,Emil Jannings,Emil Jannings
b9b4b441,What is the name of the second Fast & Furious movie?,2 Fast 2 Furious,2 Fast 2 Furious
b318be64,What is the name of the third Fast & Furious movie?,Tokyo Drift,Tokyo Drift
8b0fbe97,What is the name of the fifth Fast & Furious movie?,Fast Five,Fast Five
9bd0b6f2,What is the name of the eighth Fast & Furious movie?,Fate of the Furious,The Fate of the Furious
75085dd5,What is the name of the ninth Fast & Furious movie?,F9,Fast & Furious 9
27a78d77,What was Steven Spielberg's first theatrical movie?,The Sugarland Express,Duel
7f625787,Which movie did John Williams last compose for?,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker
3a2de53a,Which MCU movie comes first chronologically?,Captain America: The First Avenger,Captain America: The First Avenger
24bb051f,What was the last Fast & Furious movie that Paul Walker starred in?,Furious 7,Furious 7
f339a47b,Who was the fifth person to play James Bond?,Timothy Dalton,Pierce Brosnan
a884fdd2,Which movie gave Wes Anderson his first Oscar nomination?,The Royal Tenenbaums,The Grand Budapest Hotel
1d631e1f,What was the name of the last Harry Potter movie?,Harry Potter and the Deathly Hallows – Part 2,Harry Potter and the Deathly Hallows Part 2
c05b5c90,What was the name of the first Lilo and Stich movie?,Lilo & Stitch,Lilo and Stitch
9910bfc4,What was the name of the first Harry Potter movie in the series?,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone
2e5af597,What is the first movie in Nolan's Dark Knight Trilogy?,Batman Begins,Batman Begins
9f16f758,What is the last movie in Nolan's Dark Knight Trilogy?,The Dark Knight Rises,The Dark Knight Rises
89b08063,What was the last Jaws movie starring Roy Schneider?,Jaws 2,Jaws: The Revenge
3d5aa71a,What is the fourth Star Wars movie titled?,A New Hope,A New Hope
87038a58,What was the sixth Harry Potter movie chronologically?,Harry Potter and the Half Blood Prince,Harry Potter and the Half-Blood Prince
4d142788,What was the last movie George Lucas directed?,Star Wars: Episode IV: A New Hope,Star Wars: Episode III - Revenge of the Sith
7090ef9c,What was Steven Spielberg's last movie?,Ready Player One,West Side Story
b24c4dc6,Which Harry Potter movie made the least money?,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
d1ffc2f1,Which movie made the most money?,Avatar,Avatar
2cd3c437,Who is the youngest movie director?,Tony Richardson,Saugat Bista
1d702f03,What was the most expensive movie ever made?,Pirates of the Caribbean: On Stranger Tides (2011),Pirates of the Caribbean: On Stranger Tides
9e45f97c,What was the cheapest movie ever made?,The Blair Witch Projects,The Blair Witch Project
6cba6981,Which movie musical made the most money worldwide?,The Lion King,The Lion King
d949da73,What's the shortest theatrically released movie?,The Kid (1921),"""Unsere Afrikareise"""
0ced5471,Which actor or actress has been nominated for the most Oscars?,Meryl Streep,Meryl Streep
ff027a48,Which director has won the most Best Picture Oscars?,John Ford,William Wyler
b8f6c897,What is the biggest budget movie of all time?,Pirates of the Caribbean: On Stranger Tides,Avengers: Endgame
0f96b775,What is the most expensive back-to-back movie production?,The Hobbit,Avatar 2 and Avatar 3
e63bc905,Which Spider-Man movie had the smallest budget?,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse
8e4901d3,Which Studio Ghibli movie scored the lowest on Rotten Tomatoes?,Earwig and the Witch,Tales from Earthsea
24038877,Which Studio Ghibli movie scored the highest on Metacritic?,Spirited Away,Spirited Away
25ee5115,Which Star Wars film is the shortest?,Star Wars Episode IV - A New Hope,The Empire Strikes Back
5dd993e2,Which Quentin Tarantino movie is the longest?,Grindhouse,The Hateful Eight
37fe2b75,Which Quentin Tarantino movie made the most money?,Django Unchained,Pulp Fiction
c12386de,Which Steven Spielberg movie made the most money?,Jurassic Park,Jurassic Park
0914ba88,Which movie made the most money in the United States in 1977?,Star Wars,Star Wars
cbebba06,Which movie made the most money in the United States in 1979?,Kramer vs. Kramer,Kramer vs. Kramer
add9ac1c,Which movie made the most money in the United States in 1980?,The Empire Strikes Back,Star Wars: The Empire Strikes Back
2dbab681,Which movie made the most money in the United States in 1981?,Raiders of the Lost Ark,Raiders of the Lost Ark
17e2beec,What is the highest-grossing movie of all time?,Avatar,Avatar
5e868887,Who is the oldest Academy Award winning movie director?,Clint Eastwood,Clint Eastwood
dfa71862,What is the most expensive movie ever filmed?,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides
f638b3cb,What is the fastest movie ever produced?,Vishwaguru,Unsane
13311801,What is the longest movie produced?,Amra Ekta Cinema Banabo,Ambiancé
0838be3e,What is the longest movie ever nominated for an Oscar?,Gone with the Wind,Gone with the Wind
46253439,Who is the oldest person to win a Best Director Academy Award?,Clint Eastwood,Clint Eastwood
5866c25c,Which movie won the most Academy Awards in 2021?,Nomadland,Nomadland
ca622ac1,Which movie won the most Academy Awards in 2020?,Parasite,Parasite
4061de42,Which movie won the most Academy Awards in 2019?,Bohemian Rhapsody,Parasite
6eb1bc44,Which movie won the most Academy Awards in 2018?,The Shape of Water,The Shape of Water
192e3a95,Which actress has been nominated for the most Golden Globe awards?,Meryl Streep,Meryl Streep
851faa9d,Who is the youngest actress to win an Oscar?,Tatum O'Neal,Tatum O'Neal
88e23955,Which Back to the Future movie made the least money?,Back to the Future Part II,Back to the Future Part III
28ed61fb,Which Harry Potter movie made the most money worldwide?,Harry Potter & The Deathly Hallows part 2,Harry Potter and the Deathly Hallows - Part 2
b87e4c28,Which Marvel movie made the least money?,The Incredible Hulk,The Incredible Hulk
4e3dac10,Which Marvel movie made the most money?,Avengers: Endgame,Avengers: Endgame
6092bf62,Who is the youngest person to win an Academy Award?,Tatum O'Neal,Tatum O'Neal
87b2dd11,Who is the oldest person to win an Academy Award?,Anthony Hopkins,Christopher Plummer
8b027d2b,Which Spider-Man movie made the most money at the box office?,Spider-Man: Far From Home,Spider-Man: No Way Home
f6d6aef5,Which Avengers movie had the highest budget?,Avengers: Age of Ultron,Avengers: Endgame
d086d757,Which Harry Potter film is the longest?,Harry Potter and the Chamber of Secrets,Harry Potter and the Deathly Hallows: Part 2
702012a9,Which actor played James Bond the longest?,Actor Roger Moore,Roger Moore
3dcd7468,Which Spider-Man movie made the most money?,Spider-Man: Far From Home,Spider-Man: No Way Home
346e4c6f,Which Superman movie made the most money?,Batman v Superman: Dawn of Justice,Man of Steel
3f073961,Which Indiana Jones movie made the most money?,Raiders of the Lost Ark,Raiders of the Lost Ark
dfbb382b,What is the longest movie franchise ever?,Godzilla,Marvel Cinematic Universe
9c9b40ee,What is the highest-grossing movie in the world?,Avatar,Avatar
6a305bf4,What is the longest Hollywood movie ever?,Hamlet,Cleopatra
e13cf054,Which Hunger Games movie is the longest?,The Hunger Games: Catching Fire,The Hunger Games: Mockingjay - Part 2
745e9aea,Which Squid Game episode has the longest time length?,Episode 2,Episode 6
935366d9,Which actress has won the most Oscar awards?,Katharine Hepburn,Katharine Hepburn
bf9ec32a,Who is the most Oscar nominated actor?,Meryl Streep,Meryl Streep
01dff15d,Who is the youngest woman to win Best Actress?,"Keisha Castle-Hughes,",Jennifer Lawrence
9084a064,Who is the oldest male to win Best Actor?,Anthony Hopkins,Henry Fonda
c37f9f56,Which movie has the most dialogue?,Casino,My Dinner with Andre
3d62451a,Which movie uses the most swear words?,The Wolf of Wall Street,The Wolf of Wall Street
0d5d8cab,Which Pirates of the Caribbean movie made the least money?,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: Dead Men Tell No Tales
6746a8ec,Which Pirates of the Caribbean movie had the largest budget?,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides
98b29d28,Which Pirates of the Caribbean movie has the longest run time?,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End
65da9ccd,Which James Bond movie was the highest grossing at the box office?,Skyfall,Skyfall
81d3826f,Which Harry Potter film is the shortest?,Harry Potter and the Deathly Hallows Part 2,Harry Potter and the Deathly Hallows: Part 2
fc691fa1,What is the longest cinematic movie ever made?,Amra Ekta Cinema Banabo (The Innocence),Ambiancé
86cacb10,Who is the oldest Oscar winner?,Anthony Hopkins,Christopher Plummer
72d8d7c7,Which Batman movie made the most money?,The Dark Knight Rises,The Dark Knight
a9f9a3ce,Which Spider-Man film made the most money?,Sipder-Man: Far From Home,Spider-Man: No Way Home
68663d7b,Which Star Trek movie made the most money?,Star Trek (2009),Star Trek (2009)
9e760ae3,Who was the youngest to win an Oscar for Best Actress?,Marlee Matlin,Tatum O'Neal
9dae698c,Who was the oldest to win an Oscar for Best Director?,Clint Eastwood,Clint Eastwood
f7b101a0,Which movie won the most Oscars without winning Best Picture?,Cabaret,"""La La Land"""
a225f9ee,Which science fiction movie had the highest box office earnings of all time?,Avatar,Avatar
df98c5f3,Which 2011 comedy movie had the highest worldwide box office earnings?,The Hangover Part II,The Hangover Part II
abba7d67,What was the most costly movie of 2011?,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides
5b4a3b15,Which Lord of the Rings film made the most money?,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
87a5f306,Which Harry Potter film made the most money?,Harry Potter and the Deathly Hallows - Part 2,Harry Potter and the Deathly Hallows - Part 2
7ba320ef,Which Harry Potter movie has the longest runtime?,Harry Potter and the Chamber of Secrets,Harry Potter and the Deathly Hallows: Part 2
5e139a34,Which Twilight movie has the longest runtime?,The Twilight Saga: New Moon,The Twilight Saga: Breaking Dawn - Part 2
99703272,Which Twilight movie made the most money?,The Twilight Saga: Breaking Dawn Part 2,Twilight: New Moon
89b66e02,What Star Wars movie is the longest?,The Last Jedi,Star Wars: The Rise of Skywalker
483627c7,What Star Wars movie is the shortest?,A New Hope,The Empire Strikes Back
46a4d235,What Harry Potter movie made the most money?,Harry Potter and the Deathly Hallows,Harry Potter and the Deathly Hallows - Part 2
6fa39565,What was the longest Harry Potter movie?,Harry Potter and The Chamber Of Secrets,Harry Potter and the Deathly Hallows: Part 2
fb4f01b0,Which Transformers movie is the longest?,Transformers: Age of Extinction,Transformers: Age of Extinction
46a96e0b,Which Lord of the Rings movie is the shortest?,The Fellowship of the Ring,The Return of the King
d4a498d7,Which Harry Potter movie is the longest?,Harry Potter and the Chamber of Secrets,Harry Potter and the Deathly Hallows: Part 2
e66f4db5,Which Harry Potter movie is shortest?,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2
4e23d73b,Which Lord of the Rings movie cost the least money to make?,The Fellowship Of The Ring,The Lord of the Rings: The Fellowship of the Ring
0a3cd351,Which Quentin Tarantino movie is the shortest?,Reservoir Dogs,Death Proof
78886b0a,Which The Sandlot movie made the most money?,The Sandlot,The Sandlot 2
21bb51ab,Who is the youngest person to win an Oscar for Best Director?,Damien Chazelle,Damien Chazelle
4602efcb,Who is the youngest person to win an Oscar for Best Actress?,Marlee Matlin,Tatum O'Neal
26ec3550,Which Pirates of the Caribbean film made the most money?,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest
2267b539,Which Hunger Games movie made the most money?,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Catching Fire
924474cb,Which Avengers movie made the most money?,Avengers Endgame,Avengers: Endgame
11917d3b,Which actor has the most Academy Awards?,Katharine Hepburn,Katharine Hepburn
3658a9af,Which actor has acted in the most movies?,Eric Roberts,Christopher Lee
930a6a5a,Which movie has the highest production cost of all time?,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides
4b630abc,Who was the oldest Academy Award winner for Best Actor?,Anthony Hopkins,Henry Fonda
fc9e9d25,Who was the youngest Academy Award nominee?,Justin Henry,Justin Henry
554d7871,Which actress has the most Academy Award nominations?,Meryl Streep,Meryl Streep
0c5f2e78,Which Godfather movie is the longest?,The Godfather Part II,The Godfather Part II
b2d76026,Which James Cameron movie is the highest grossing at the worldwide box office?,Avatar,Avatar
70f78727,Who is the oldest living person to have won an Academy Award for Best Supporting Actress?,Eva Marie Saint,Eva Marie Saint
4678618a,What is the longest American movie?,Cleopatra,Cleopatra
d98434ab,What was the highest-grossing Star Wars movie at the worldwide box office?,The Force Awakens,Star Wars: The Force Awakens
be293282,What is the highest-grossing movie of all time in America?,Avengers: Endgame,Avatar
0878c86f,Which of the Transformers movies is the longest?,Transformers : Age of Extinction,Transformers: Age of Extinction
7d8a94d2,Which of the Pirates of the Caribbean movies is the longest?,Pirates of the Caribbean : At World's End,Pirates of the Caribbean: At World's End
a2f2b67c,Which of the Jurassic Park movies is the longest?,Jurassic Park : The Lost World,Jurassic Park: Fallen Kingdom
