id,question,answerText,top1,top2,top3,top4,top5
47b32abf,Which 2018 movie was Bradley Cooper nominated Best Actor for but did not win?,A Star is Born,A Star is Born,Avengers: Infinity War,Black Panther,Bohemian Rhapsody,Green Book
04add29f,Which 2018 movie was Willem Dafoe nominated Best Actor for but did not win?,At Eternity's Gate,At Eternity's Gate,Willem Dafoe,Best Actor nomination,2018 movie ,Did not win
9bdfb792,Which 2010 movie was Michelle Williams nominated Best Actress for but did not win?,Blue Valentine,Blue Valentine,Shutter Island,Black Swan,The Kids Are All Right,Winter's Bone
c5518e09,Which movies in the Indiana Jones franchise did Karen Allen not appear in?,"Indiana Jones and the Temple of Doom, Indiana Jones and the Last Crusade",Indiana Jones and the Temple of Doom,Indiana Jones and the Kingdom of the Crystal Skull,,,
7f195133,Which 2005 George Clooney movie was nominated for Best Picture at the Academy Awards but did not win?,"Good Night, and Good Luck","Good Night, and Good Luck",Syriana,The Descendants,Michael Clayton,Confessions of a Dangerous Mind
a2355af4,Which Iron Man movies did Terrance Howard not appear in?,"Iron Man 2, Iron Man 3",Iron Man 2,Iron Man 3,,,
b35fda31,Which is the only Final Destination movie not to be filmed in Canada?,The Final Destination,Final Destination 5,Final Destination 3,Final Destination: The Last Flight,Final Destination: Death Trip,Final Destination: End of the Line
a7c092ac,Which is the first season of American Horror story to not feature Jessica Lange?,Season 5 American Horror Story: Hotel,American Horror Story: Cult,American Horror Story: Apocalypse,American Horror Story: 1984,American Horror Story: Double Feature - Red Tide,American Horror Story: Double Feature - Death Valley
7efca25f,"What is the only ""Chucky"" movie to not star Brad Dourif as Chucky?",Child's Play 2019,Child's Play (2019),Child's Play 2,Child's Play 3,Bride of Chucky,Seed of Chucky
d1ca8ceb,What is the only one of the Halloween movie franchises to not feature Michael Myers?,Halloween 3 Season of the Witch,Halloween III: Season of the Witch,Halloween: Resurrection,Halloween (2007),Halloween II (2009),Halloween (2018)
03a3f221,Which 21st century James Bond movie has Daniel Craig not starred in?,Die Another Day,Casino Royale,Quantum of Solace,Skyfall,Spectre,No Time to Die
4757d5ff,Which Back to the Future movie did not star Elisabeth Shue?,Back to the Future,Back to the Future Part III,Back to the Future: The Animated Series,Back to the Future: The Ride,Back to the Future: The Game,Back to the Future (musical)
cd7899b7,Which movie in 2015 was Cate Blanchett nominated for Best Performance by an Actress in a Leading Role but lost?,Carol,Carol,Brooklyn,Joy,Room,45 Years
8c373f71,Which movie in 1998 was Ian McKellen nominated for Best Actor in a Leading Role but lost?,Gods and Monsters,Roberto Benigni - Life is Beautiful,Tom Hanks - Saving Private Ryan,Nick Nolte - Affliction,Edward Norton - American History X,Ian McKellen - Gods and Monsters
0bc0a879,Which movie in 2002 was Ian McKellen nominated for Best Actor in a Supporting Role but lost?,The Lord of the Rings: The Fellowship of the Ring,"Chris Cooper in ""Adaptation""","Ed Harris in ""The Hours""","Paul Newman in ""Road to Perdition""","John C. Reilly in ""Chicago""","Christopher Walken in ""Catch Me If You Can"""
f5201608,Which movie in 1983 directed by Wolfgang Petersen was nominated for Best Director but did not win?,Das Boot,Das Boot,Wolfgang Petersen,Best Director nomination,1983 movie,Did not win
70c8ae5a,Which actor not born in the United States starred as Spider-Man?,Tom Holland,Tom Holland,Andrew Garfield,Tobey Maguire,Jake Gyllenhaal,Nicholas Hammond
8165798b,Which Korean actress from Janus: Two Faces of Desire is no longer alive?,Oh In Hye,Lee Hye-young,Kim Hye-soo,Kim Min-jung,Han Ji-min,Park Si-yeon
e0b02678,Which James Bond actor is no longer alive?,Sean Connery,Sean Connery,Roger Moore,Pierce Brosnan,Timothy Dalton,David Niven
b6daa2d3,Which actors in Black Panther are no longer alive?,Chadwick Boseman,Chadwick Boseman,John Kani,Dorothy Steel,Connie Chiume,Isaach De Bankolé
94f9a303,Which Harry Potter movie does not have Lord Voldemort in it?,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,Harry Potter and the Half-Blood Prince,Fantastic Beasts: The Crimes of Grindelwald
7194c7e7,Which Star Wars movie does not have R2D2 in it?,Solo: A Star Wars Story,Rogue One,Solo: A Star Wars Story,The Last Jedi,The Rise of Skywalker,The Mandalorian
982ef12f,Which series starring Jonathan Majors did not win the Emmy for Best Drama Series in 2021?,Lovecraft County,Lovecraft Country,The Crown,The Mandalorian,Pose,The Handmaid's Tale
506bbee1,"Which 2021 Emmy award was Cobra Kai nominated for, but did not win?",Outstanding Comedy Series,Outstanding Drama Series,Outstanding Supporting Actor in a Drama Series,Outstanding Directing for a Drama Series,Outstanding Writing for a Drama Series,Outstanding Sound Editing for a Comedy or Drama Series (One Hour)
0453767c,"Which Batman movie was released, but the main actor did not live to see its release?",The Dark Knight,Heath Ledger,The Dark Knight,Joker,Christopher Nolan,Batman
be5c8bee,In which Hunger Games movie did Prim not survive?,Mockingjay Part 2,The Hunger Games: Mockingjay - Part 2,Catching Fire,The Hunger Games: Mockingjay - Part 1,The Hunger Games,None of the above
9cf7b85f,"Which Star Wars movie features Princess Leia, but not with the original actor?",Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,The Rise of Skywalker,The Last Jedi,Solo: A Star Wars Story,The Force Awakens
ba90594e,"In Star Wars, which main member of the original trio does not live past The Force Awakens?",Han Solo,Han Solo,Luke Skywalker,Leia Organa,Chewbacca,R2-D2
80f035d3,Which lead Star Wars movie character does not appear in any other movie in the movie series?,Jyn Erso,Jyn Erso,Rey,Cassian Andor,Poe Dameron,Finn
eec08776,Which movie was directed by Denis Villeneuve and stars Timothee Chalamet?,Dune,Dune,Dune,Dune,Dune,Dune
b6c5c17c,Which movie is part of the Marvel Cinematic Universe and has Chadwick Boseman in the titular role?,Black Panther,Black Panther,Captain America: Civil War,Avengers: Infinity War,Avengers: Endgame,Black Panther 2
e2583e9a,Which Disney animated movie features Robin Williams?,Aladdin,Aladdin,Genie,Agrabah,Jafar,Sultan
bfebcad0,Which Die Hard movie stars Samuel L. Jackson?,Die Hard 3: with a Vengeance,Die Hard with a Vengeance,Die Hard: With a Vengeance,Die Hard 3,Die Hard 3: With a Vengeance,DH3
3682921f,Which movie franchise was directed by Sam Raimi and starred Tobey Maguire?,Spider-Man,Spider-Man,Evil Dead,Oz the Great and Powerful,Darkman,The Quick and the Dead
7a0296af,Which movie is the highest-rated metacritic movie directed by Hayao Miyazaki?,Spirited Away,Spirited Away,My Neighbor Totoro,Princess Mononoke,Howl's Moving Castle,Nausicaä of the Valley of the Wind
2809fa64,Which Happy Madison movie was directed by Dennis Dugan and starred Adam Sandler?,Big Daddy,Grown Ups,Just Go with It,Jack and Jill,You Don't Mess with the Zohan,I Now Pronounce You Chuck & Larry
c05cb156,Which actor starred in Edge of Tomorrow and was married to Nicole Kidman?,Tom Cruise,Tom Cruise,Brad Pitt,George Clooney,Johnny Depp,Leonardo DiCaprio
14364357,"Which actor starred in Fight Club and was born in Shawnee, OK?",Brad Pitt,Brad Pitt,Edward Norton,Jared Leto,Meat Loaf,Helena Bonham Carter
93a82020,Which movie was produced by Michael Mann in 1995 and starred both Robert De Niro & Val Kilmer?,Heat,Heat,Michael Mann,Robert De Niro,Val Kilmer,1995
e2152456,Who composed the music for Pet Sematary and Alien 3?,Elliot Goldenthal,Elliot Goldenthal,Daniel Davies,Mark Korven,Christopher Young,Fred Myrow
6911c41f,Who directed The Room and starred as the movie's lead actor?,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau
fc8e6d97,"Which movie was released on October 11, 1974 and was loosely inspired by the criminal Ed Gein?",Texas Chainsaw Massacre,The Texas Chain Saw Massacre,Psycho,Silence of the Lambs,Deranged,Ed Gein
b8507817,Which movie was directed by James Cameron and starred Leo DiCaprio?,Titanic,Titanic,Avatar,The Abyss,Aliens,Terminator 2: Judgment Day
ef4c00a7,Which actress played Tomb Raider and was married to Brad Pitt?,Angelina Jolie,Angelina Jolie,Jennifer Aniston,Alicia Vikander,Scarlett Johansson,Charlize Theron
013b9631,"Which actress was in Hannibal as Clarice Starling and was born in Fort Bragg, North Carolina?",Julianne Moore,Jodie Foster,Julianne Moore,Cate Blanchett,Nicole Kidman,Charlize Theron
c2c5a492,"Which actor plays Ethan Hunt in the Mission Impossible series and was born in Syracuse, New York?",Tom Cruise,Tom Cruise,Tom Hanks,Brad Pitt,Leonardo DiCaprio,Will Smith
60d0d2bf,Which actress from Germany was in the movie Troy?,Diane Kruger,Diane Kruger,Lena Headey,Rose Byrne,Saffron Burrows,Vanessa Redgrave
25dc5651,Which actor played a Jedi and also starred in Taken?,Liam Neeson,Liam Neeson,Ewan McGregor,Samuel L. Jackson,Hayden Christensen,Mark Hamill
90bf6523,Which actress has famous twin sisters and also played Wanda Maximoff?,Elizabeth Olsen,Mary-Kate Olsen,Ashley Olsen,Elizabeth Olsen,Scarlett Johansson,Emily VanCamp
3a1ab80f,Who directed both Psycho as well as a movie starring a wheelchair-bound photographer?,Alfred Hitchcock,Alfred Hitchcock,Brian De Palma,Dario Argento,David Fincher,Gus Van Sant
fd4d3a28,Which movie was directed by the Coen brothers and starred John Turturro?,Barton Fink,Barton Fink,Miller's Crossing,The Big Lebowski,"O Brother, Where Art Thou?",The Man Who Wasn't There
d51b7dab,Which movie was directed by the Coen brothers and starred Javier Bardem?,No Country for Old Men,No Country for Old Men,3. ,4.,5.,
78ad68cd,Which movie was directed by the Coen brothers and starred Michael Stuhlbarg?,A Serious Man,A Serious Man,Fargo,The Big Lebowski,Barton Fink,Inside Llewyn Davis
bbecf158,Which actress was in a leading role in Harry Potter and attended Brown University?,Emma Watson,Emma Watson,Emma Thompson,Helena Bonham Carter,Maggie Smith,Evanna Lynch
1353ac48,Which movie was directed by George Lucas and came out in 1973?,American Graffiti,American Graffiti,THX 1138,Star Wars: Episode IV - A New Hope,The Empire Strikes Back,Return of the Jedi
5b004c40,Which movie was directed by Christopher Nolan and starred Robert Pattinson?,Tenet,Tenet,The Batman (upcoming),Untitled Oppenheimer Project (upcoming),Dunkirk,Inception
1cbe8494,Which actor played James Bond and was from Ireland?,Pierce Brosnan,Pierce Brosnan,Colin Farrell,Cillian Murphy,Michael Fassbender,Liam Neeson
1fc0397c,Which movie was directed by its leading role actor and won the Oscar for Best Picture in 1996?,Braveheart,Mel Gibson - Braveheart,Clint Eastwood - Unforgiven,Kevin Costner - Dances with Wolves,Warren Beatty - Reds,Laurence Olivier - Hamlet
8f0d8c19,Which movie was directed by Martin Campbell and starred Daniel Craig?,Casino Royale,Casino Royale,GoldenEye,The Mask of Zorro,Edge of Darkness,The Foreigner
c43881e9,Which movie was directed by Darren Aronofsky and starred Rachel Weisz?,The Fountain,The Fountain,Black Swan,Noah,Pi,Requiem for a Dream
9e233abf,Which movie was directed by Fernando Meirelles and starred Ralph Fiennes?,The Constant Gardener,The Constant Gardener,360,,,
8406d625,Which movie was directed by Gus Van Sant and starred Sean Penn?,Milk,Milk,Good Will Hunting,Elephant,Last Days,My Own Private Idaho
d31367c1,Which famous Stanley Kubrick horror movie was released in 1980 and was based on a novel by Steven King?,The Shining,The Shining,Jack Torrance,Overlook Hotel,Wendy Torrance,Danny Torrance
6b922d2e,Which marvel movie was released in 2018 and featured Tom Hardy as an actor in the lead role?,Venom,Venom,Avengers: Infinity War,Black Panther,Ant-Man and The Wasp,Deadpool 2
12eeaa1b,Which movie released in 1981 features Harrison Ford and was the first in a long series of movies?,Raiders of the Lost Ark,Raiders of the Lost Ark,Indiana Jones and the Temple of Doom,Indiana Jones and the Last Crusade,Indiana Jones and the Kingdom of the Crystal Skull,Blade Runner
702903c4,Which actor starred in both Billy Madison and Happy Gilmore?,Adam Sandler,Adam Sandler,Chris Farley,Steve Buscemi,Ben Stiller,Norm Macdonald
f350a134,Which actor played both Captain Kirk and Jack Ryan?,Chris Pine,Chris Pine,William Shatner,Alec Baldwin,Harrison Ford,Chris Pine
4d6a5b65,Which movie starred both Chris Farley and Matthew Perry?,Almost Heroes,Almost Heroes,Beverly Hills Ninja,The Whole Nine Yards,Saturday Night Live,Friends
c4e50cca,Which movie starred both Norm MacDonald and Artie Lange?,Dirty Work,Dirty Work,The Norm Show,Artie Lange's Beer League,Funny People,Drunk Parents
3c04ea20,Which movie was directed by Kevin Smith and was released in 1994 with a character named Brody?,Mallrats,Clerks,Mallrats,Chasing Amy,Dogma,Jay and Silent Bob Strike Back
8cffe159,Which movie was directed by Kevin Smith and stars a character named Amy?,Chasing Amy,Jersey Girl,Clerks II,Jay and Silent Bob Strike Back,Chasing Amy,Dogma
e73c8d82,Which movie came out starring Van Damme and has the word blood in the title?,Blood Sport,Bloodsport,Universal Soldier: Day of Reckoning,Pound of Flesh,Black Water,The Bouncer
61c4baea,Which movie came out in the 90s starring Van Damme and has the word kick in the title?,Kickboxer,Kickboxer,Double Impact,Universal Soldier: The Return,Maximum Risk,Knock Off
15a76dda,Who starred in The Graduate and achieve the Triple Crown of Acting?,Anne Bancroft,Dustin Hoffman,Helen Mirren,Al Pacino,Jessica Lange,Ingrid Bergman
ab658298,Who played a juror in 12 Angry Men and made his Hollywood movie debut in 1935?,Henry Fonda,Henry Fonda,Lee J. Cobb,E.G. Marshall,Jack Klugman,Ed Begley
93ce505b,Which actress is married to Ryan Reynolds and starred in Black Widow?,Scarlett Johansson,Blake Lively,Scarlett Johansson,Jennifer Lawrence,Emma Stone,Margot Robbie
7ce7e1f7,"Which actress was in the Hunger Games and was born in Indian Hills, KY?",Jennifer Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks
d17bf935,Which actress was in Marvin's Room and holds the record for the most awards of any actor?,Meryl Streep,Meryl Streep,Cate Blanchett,Judi Dench,Kate Winslet,Frances McDormand
5f37b1ca,Which actress was in Suicide Squad and went to Somerset College?,Margot Robbie,Margot Robbie,Viola Davis,Cara Delevingne,Karen Fukuhara,Adewale Akinnuoye-Agbaje
a0bb4027,Which actor played Luke Skywalker and voiced the Joker?,Mark Hamill,Mark Hamill,Troy Baker,Roger Craig Smith,Kevin Conroy,Cameron Monaghan
3b3cd892,Which actor was both Indiana Jones and Han Solo?,Harrison Ford,Harrison Ford,Tom Selleck,Sean Connery,Chris Pratt,Bradley Cooper
9259c025,Which movie was directed by the Wachowski Brothers and had Keanu Reeves in it?,The Matrix,The Matrix,The Matrix Reloaded,The Matrix Revolutions,Speed Racer,Cloud Atlas
733ac0b1,Which movie had Jeff Bridges in it and was produced by Ethan Cohen?,The Big Lebowski,The Big Lebowski,True Grit,R.I.P.D.,The Giver,Kingsman: The Golden Circle
4b083406,Who played Max Zorin in a Bond movie?,Christopher Walken,Christopher Walken,Javier Bardem,Mads Mikkelsen,Christoph Waltz,Rami Malek
8b7f1fc2,Who played Max Schreck in Batman?,Christopher Walken,Willem Dafoe,Christopher Walken,John Malkovich,Gary Oldman,Tim Roth
723e21e8,Who played Vanni Corso in A Business Affair?,Who played Gabriel in The Prophecy?,Jonathan Pryce,Christopher Walken,Tim Curry,Colin Firth,Jeremy Irons
cd338531,Walken played Calvin Webber in which movie from 1999?,Blast from the Past,Sleepy Hollow,The Prophecy 3: The Ascent,Blast from the Past,New Rose Hotel,Vendetta
5a85054d,Which movie was directed by George Lucas and came out in 1977?,Star Wars,Star Wars: Episode IV - A New Hope,American Graffiti,THX 1138,The Empire Strikes Back,Return of the Jedi
87b569b1,Which actress was in Gone with the Wind and in A Streetcar Named Desire?,Vivien Leigh,Vivien Leigh,Olivia de Havilland,Hattie McDaniel,Kim Hunter,Ann Rutherford
db161638,Which actor has a child named Wednesday and starred in the Harry Potter movies?,Rupert Grint,Christina Ricci,Rupert Grint,Helena Bonham Carter,Daniel Radcliffe,Emma Watson
45ef8aa9,Which movie directed by Christopher Nolan stars Guy Pierce?,Memento,Memento,The Prestige,Inception,Tenet,Following
cf6e9e3a,"Which movie that has three directors, one of whom is Frank Miller, also stars Bruce Willis?",Sin City,Sin City,Sin City: A Dame to Kill For,The Spirit,300: Rise of an Empire,Grindhouse
4dea8142,Which Steven Spielberg movie was based on a 1990 novel by Michael Crichton?,Jurassic Park,Jurassic Park,The Lost World: Jurassic Park,,,
197c5bc6,Which 1998 movie written and directed by Christopher Edward Nolan was a breakthrough success for him?,Following,Following,Memento,Insomnia,The Prestige,Inception
a166276f,Which 1953 Stanley Kubrick movie was a commercial failure but garnered several positive reviews upon release?,Fear and Desire,Fear and Desire,Killer's Kiss,The Killing,Paths of Glory,Spartacus
9c0a7d3e,Which actor has played Superman and was born outside the USA?,Henry Cavill,Henry Cavill,Christopher Reeve,George Reeves,Tom Welling,Dean Cain
0aa08a0a,Which movies did Brad Pitt produce and act in at the same time?,Moneyball and World War Z,Moneyball,The Big Short,12 Years a Slave,World War Z,Ad Astra
4e497e31,Which actor starred in Fight Club and also is a environmental lawyer?,Edward Norton,Edward Norton,Mark Ruffalo,Matt Damon,Leonardo DiCaprio,Brad Pitt
52db3d16,"Which movie actress was born in Dalby, Australia and has also played a leading role in the Suicide Squad movie?",Margot Robbie,Margot Robbie,Nicole Kidman,Cate Blanchett,Naomi Watts,Rose Byrne
8a8d906b,"Which movie actor was born in Sydney, Australia and has played a role as a main character in the X-Men movies?",Hugh Jackman,Hugh Jackman,Nicole Kidman,Cate Blanchett,Russell Crowe,Margot Robbie
61264835,Which movie actor has played a main character in the Thor movies and has a brother that has dated Miley Cyrus?,Christopher Hemsworth,Chris Hemsworth,Liam Hemsworth,,,
f754afd4,Which movie actor was awarded a star on the Hollywood Walk of Fame in 2017 and has played the title character in a Deadpool movie before?,Ryan Reynolds,Ryan Reynolds,Hugh Jackman,Scarlett Johansson,Chris Evans,Robert Downey Jr.
1e579bd0,"Which actor played James Bond and was born in Chester, UK?",Daniel Craig,Daniel Craig,Timothy Dalton,Roger Moore,George Lazenby,David Niven
bad12250,Which actor played Spider-Man and was born in England?,Tom Holland,Tom Holland,Andrew Garfield,Charlie Cox,Jamie Bell,Tom Hardy
31cfb5e6,Which actor featured in Fatherhood and is a stand-up comedian?,Kevin Hart,Kevin Hart,Mike Epps,Chris Rock,Aziz Ansari,Jim Gaffigan
852e557f,Which actress starred in Maleficent and grew up in New York?,Angelina Jolie,Angelina Jolie,Elle Fanning,Dakota Fanning,Jennifer Lawrence,Scarlett Johansson
28d58da8,Which movie actor starred in Fast and Furious and was a wrestler?,Dwayne Johnson,Dwayne Johnson,Vin Diesel,John Cena,Jason Statham,Tyrese Gibson
b9fa47f6,Which actor featured in the movie Beloved and was a talk show host?,Oprah Winfrey,Oprah Winfrey,Whoopi Goldberg,Ellen DeGeneres,Rosie O'Donnell,Tyra Banks
ea686027,Which movie starred Roger Moore and was set mostly in Louisiana?,Live and Let Die,Live and Let Die,The Man with the Golden Gun,Octopussy,A View to a Kill,The Spy Who Loved Me
70cc549b,Which actor was in The Call of the Wild and Star Wars movies?,Harrison Ford,Harrison Ford,Carrie Fisher,Mark Hamill,Daisy Ridley,Adam Driver
eb521cb2,Which movie was directed by Darren Aronofsky and came out in 2017?,Mother!,Mother!,None,None,None,None
96a9bd38,Which actor was in Pirates of the Caribbean and was a pen salesman before his acting career?,Johnny Depp,Johnny Depp,Steve Carell,Rainn Wilson,John Krasinski,Jenna Fischer
483c2228,Which movie was directed by Taylor Hackford and starred Damian Chapa?,Blood In Blood Out,"Blood In, Blood Out",The Devil's Advocate,Ray,Parker,Dolores Claiborne
a514e83a,Which movie was directed by Edward James Olmos and starred Edward James Olmos?,American Me,American Me,Walkout,The Ballad of Gregorio Cortez,Talent for the Game,2 Guns
77b2aca4,Which movie was directed by Brian De Palma and starred Al Pacino?,Carlito's Way,Scarface,Carlito's Way,The Untouchables,Mission: Impossible,Dressed to Kill
8e98844c,Which movie was directed by Sam Mendes and starred Kevin Spacey?,American Beauty,American Beauty,Road to Perdition,Jarhead,Revolutionary Road,Skyfall
e74425b1,Which actress in Blue Lagoon graduated from Princeton University?,Brooke Shields,Brooke Shields,Milla Jovovich,Denise Richards,Jessica Alba,Natalie Portman
9aab4bd5,Which actor starred in Good Will Hunting and attended Harvard?,Matt Damon,Matt Damon,Ben Affleck,Robin Williams,Minnie Driver,Stellan Skarsgård
d4c282d0,"Which star in the Titanic was born on November 11, 1974?",Leonardo di Caprio,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,Frances Fisher
049fb505,"Which actress starred in Freaky Friday and the Parent Trap, and was born in the Bronx?",Lindsay Lohan,Lindsay Lohan,Jamie Lee Curtis,Jodie Foster,Scarlett Johansson,Anne Hathaway
8e362b1c,Which movie directed by Cate Shortland stars Scarlett Johansson?,Black Widow,Black Widow,Berlin Syndrome,Lore,Somersault,The Secret Life of Us
c0b1eecb,Which baseball movie about kids stars Thomas Ian Nicholas?,Rookie of the Year,Rookie of the Year,A Kid in King Arthur's Court,The Rules of Attraction,American Pie,Walt Before Mickey
f3890512,Which 2021 Halloween movie was directed by David Gordon Green?,Halloween Kills,Halloween Kills,Halloween Ends,Halloween: The Legend of Laurie Strode,Halloween: Resurrection,Halloween Returns
fed3e2aa,Which movie was directed by Martin Scorsese and starred Mark Ruffalo?,Shutter Island,Shutter Island,The Avengers,Zodiac,Spotlight,Now You See Me
247f56fb,Which movie was directed by Martin Scorsese and starred Daniel Day-Lewis?,Gangs of New York,Gangs of New York,The Age of Innocence,The Last Temptation of Christ,My Left Foot,In the Name of the Father
16ac18cb,Which actress starred in Harry Potter and went to Brown University?,Emma Waston,Emma Watson,Emma Thompson,Helena Bonham Carter,Maggie Smith,Evanna Lynch
c7bcb4dd,Which actress starred in Transformers and modeled for Victoria's Secret?,Rosie Huntington-Whiteley,Megan Fox,Rosie Huntington-Whiteley,Isabel Lucas,Nicola Peltz,Gemma Chan
5929e0d7,Which actor has the stage name Marky Mark and also starred in Joe Bell?,Mark Wahlberg,Mark Wahlberg,Marky Mark,Mark Robert Michael Wahlberg,Joe Bell actor,The Departed star
cf61ada2,Who was the star of The Crazies and also went to University of Southern California?,Timothy Olyphant,Timothy Olyphant,Radha Mitchell,Joe Anderson,Danielle Panabaker,Preston Bailey
44178fac,Which actress acted in Star Wars and was born in Israel?,Natalie Portman,Natalie Portman,Gal Gadot,Daisy Ridley,Carrie Fisher,Felicity Jones
3781077f,Which movie was directed by Martin Scorsese and featured Ray Liotta?,goodfellas,Goodfellas,The Irishman,The Departed,Casino,Mean Streets
67e43710,Which horror movie did Drew Barrymore act in in 1995?,cat's eye,Scream,The Babysitter,I Know What You Did Last Summer,Halloween: The Curse of Michael Myers,Children of the Corn III: Urban Harvest
07fb547a,Which movies directed by Martin Scorsese featured Leonardo DiCaprio?,"gangs of new york, the aviator, the departed, shutter island, wolf of wall street, audition, killers of the flower moon",The Departed,Shutter Island,The Wolf of Wall Street,Gangs of New York,The Aviator
d0c5ccfa,Which movie took place at a hotel and starred Jack Nicholson?,the shining,The Shining,Hotel Artemis,About Schmidt,The Bucket List,As Good as It Gets
ea5f6eca,Who plays in the Fast & Furious movies and also is a former professional wrestler?,Dwayne Johnson,Dwayne Johnson,John Cena,Dave Bautista,Roman Reigns,Ronda Rousey
9f64e7ff,Which actress plays Black Widow and was born in 1984?,Scarlett Johansson,Scarlett Johansson,Emily Blunt,Natalie Portman,Margot Robbie,Jennifer Lawrence
8b330274,Who was the star of Black Panther and passed away in August of 2020?,Chadwick Boseman,Chadwick Boseman,T'Challa,King of Wakanda,Marvel superhero,Jackie Robinson
1bd7eea9,Which actor who starred in A Quiet Place also starred in the TV show The Office?,John Krasinski,John Krasinski,Emily Blunt,Noah Jupe,Millicent Simmonds,Cillian Murphy
ed67ce8c,Which movie based on a Stephen King novel was directed by Rob Reiner and starred Kathy Bates?,Misery,Misery,Stand by Me,The Shawshank Redemption,Dolores Claiborne,Hearts in Atlantis
494f8af7,Which movie based on a Stephen King novel starred Jack Nicholson and came out in 1980?,The Shining,The Shining,Jack Torrance,Overlook Hotel,Wendy Torrance,Danny Torrance
14b9bda0,Which movie based on a Stephen King novel starred Tim Robbins and came out in 1994?,The Shawshank Redemption,The Shawshank Redemption,Tim Robbins,Stephen King,1994,Movie
a75583a2,Which movie based on a Stephen King novel starred Tim Curry and came out in 1990?,It,It,Tim Curry,1990,Stephen King novel adaptation ,Movie
7b9d62ee,Which movie was directed by Tim Burton and came out in 1990?,Edward Scissorhands,Edward Scissorhands,Batman,Beetlejuice,Vincent,The Nightmare Before Christmas
5577edca,Which actor starred in Cry Baby and was married to Amber Heard?,Johnny Depp,Johnny Depp,Leonardo DiCaprio,Brad Pitt,Tom Cruise,Ryan Gosling
258813ce,Which movie starred Jim Sturgess and came out in 2007?,Across the Universe,Across the Universe,21,The Other Boleyn Girl,The Bank Job,Heartless
73137355,Which actress was born in Kentucky and played Katniss Everdeen?,Jennifer Lawrence,Jennifer Lawrence,Ashley Judd,Diane Lane,Laura Bell Bundy,Rosemary Clooney
9989cfca,"Which actress starred in ""The Island"" and has a twin in real life?",Scarlett Johansson,Scarlett Johansson,Natalie Portman,Jessica Biel,Mary-Kate Olsen,Ashley Olsen
a241bab1,Which actor starred in Squid Game and was born in India?,Anupam Tripathi,Anupam Tripathi,Rajesh Tailang,Samrat Chakrabarti,Adil Hussain,Asif Basra
d8aa0320,Which movie was directed by Christopher Nolan and starred John David Washington?,Tenet,Tenet,Inception,The Dark Knight,Interstellar,Dunkirk
73b41610,Which movie was directed by Taika Waititi and starred Scarlett Johansson?,Jojo Rabbit,Jojo Rabbit, Next Goal Wins,Thor: Ragnarok ,Boy ,Hunt for the Wilderpeople
07a07d09,Who is the Drive star that started out in the Mickey Mouse club?,Ryan Gosling,Ryan Gosling,Justin Timberlake,Britney Spears,Christina Aguilera,Keri Russell
27b74b8b,Which movie starred Anthony Hopkins and was based on the life of CS Lewis?,Shadowlands,The World's Fastest Indian,Shadowlands,The Remains of the Day,Legends of the Fall,Meet Joe Black
fda69bf4,Which actor starred in Gran Torino and directed it?,Clint Eastwood,Clint Eastwood,Clint Eastwood,Clint Eastwood,Clint Eastwood,Clint Eastwood
7342866e,Which actor starred in a movie about his own life and is a world-famous rapper from Detroit?,Eminem,Eminem,Marshall Mathers,Slim Shady,B-Rabbit,Rabbit
4ce85859,Which actor narrated the March of the Penguins and is six feet and two inches tall?,Morgan Freeman,Morgan Freeman,Samuel L. Jackson,Liam Neeson,James Earl Jones,David Attenborough
992424f5,Which famous Hollywood actor had the middle name of Charles Durman and died in 1997?,Robert Mitchum,Marlon Brando,James Stewart,Cary Grant,Henry Fonda,Jack Lemmon
35575c6b,"Which actress played Burt Lancaster's daughter in ""Sweet Smell of Success"" and graduated at the High School of Performing Arts in New York City?",Susan Harrison,Susan Harrison,Barbara Nichols,Rita Gam,Martha Hyer,Edith Atwater
7bb95643,"Which actor played Terry Malloy in ""On the Waterfront"" and whose religion is Christian Scientist?",Marlon Brando,Marlon Brando,James Dean,Montgomery Clift,Paul Newman,Humphrey Bogart
5a89694c,Where is the actor who played Seong Gi-hun in Squid Game from?,"Seoul, South Korea",South Korea,Seoul,Busan,Incheon,Daegu
193c8093,What's the actor's name who played Spider-Man in 2002?,Tobey Maguire,Tobey Maguire,Andrew Garfield,Tom Holland,Jake Gyllenhaal,Tom Hardy
42874384,What is the hometown of the director of Parasite?,"Daegu, South Korea","Seoul, South Korea","Incheon, South Korea","Busan, South Korea","Daegu, South Korea","Gwangju, South Korea"
3b4e7a21,Which university did the director of Parasite attend?,Yonsei University,Yonsei University,Chung-Ang University,Korea National University of Arts,Seoul Institute of the Arts,Dankook University
4dd92765,Who is the sister to the actress who headlined Mona Lisa Smile?,Emma Roberts,Julia Roberts,Kirsten Dunst,Maggie Gyllenhaal,Julia Stiles,Ginnifer Goodwin
